25 20
#############            
#U....O....U#    ########
#..s.....s..######U....U#
#.....i..............,..#
#..0........######......#
#.....s.....#    #...O..#
#..i.....i..#    #......#
#U.........U#    #U....U#
#####..######    ###..###
    #..#           #..#  
    #..#           #..#  
    #..#         ###..###
  ###..####      #U....U#
  #U.....U#      #.?....#
  #.......#      #......#
  #...p.?.#      #..,...#
  #.......#      #......#
  #...E...#      #...?..#
  #U.....U#      #U....U#
  #########      #####=##
